customer_id,age,salary,account_balance,avg_card_spend,tenure_months,digital_engagement_score,missed_payments,is_sme_owner,international_spend_ratio,personal_loan_conversion,fx_card_conversion,churn_risk
100,35,11002.01,39281.26,2052.17,17,7.53,0,1,0.43,0,0,0
101,23,34867.77,148650.37,17635.6,156,50.9,2,0,0.0,1,1,0
102,33,20408.86,137317.57,4679.92,36,80.66,0,0,0.87,1,0,1
103,34,3000.0,6241.73,696.53,166,30.25,0,0,0.16,0,0,0
104,29,9917.52,70282.58,5600.27,82,84.34,0,0,0.96,1,1,0
105,36,7701.41,27128.35,3302.5,70,78.28,0,0,0.51,1,1,0
106,42,11444.83,17275.14,1798.6,116,58.07,1,0,0.99,1,0,1
107,56,24754.93,74810.24,4252.71,154,25.21,1,0,0.54,0,1,0
108,39,16710.66,34787.49,3946.79,1,86.11,0,0,0.46,1,1,0
109,40,17077.62,35871.56,6779.78,81,3.0,0,0,0.47,0,1,0
110,37,33761.68,202685.95,16084.49,130,59.25,0,0,0.84,0,0,0
111,18,9642.47,27874.89,2287.66,164,78.26,0,0,0.36,0,0,0
112,37,40370.39,305839.06,21611.12,35,48.54,0,0,0.85,0,0,0
113,38,9944.31,48298.41,1537.29,127,10.29,0,0,0.89,0,1,1
114,62,19070.38,85638.18,3886.54,27,83.4,0,0,0.29,1,0,0
115,36,14625.56,63223.98,8559.35,46,90.91,0,0,0.93,1,1,0
116,41,19481.03,116921.63,3260.59,148,56.33,0,0,0.19,0,0,0
117,37,23335.1,103601.05,12695.6,8,78.72,1,0,0.83,0,1,0
118,26,23206.02,54207.0,10488.37,93,61.07,0,0,0.17,1,0,0
119,49,8962.59,64719.95,1223.78,72,57.33,1,0,0.72,0,0,0
120,45,4525.02,19387.78,1546.89,114,13.08,1,0,0.98,0,1,0
121,45,48038.06,95164.83,17269.19,91,43.68,0,0,0.08,0,1,1
122,28,12192.19,60240.12,6901.63,26,67.88,0,0,0.2,0,0,0
123,52,26390.55,150630.78,8195.65,103,45.45,0,0,0.35,1,0,0
124,23,3000.0,9873.86,970.15,62,61.78,1,0,0.36,0,0,1
125,43,14644.65,98151.54,2288.11,94,89.48,0,0,0.18,0,0,0
126,59,16473.61,96428.97,6912.1,161,36.62,0,0,0.5,0,1,0
127,28,23673.78,135584.89,4863.74,61,82.85,1,0,0.79,1,1,0
128,32,3000.0,12706.09,416.3,148,2.9,0,0,0.8,1,0,0
129,38,19993.69,155000.05,11965.41,68,85.27,0,0,0.47,1,0,0
130,32,4203.1,13795.55,986.95,29,10.67,0,0,0.31,0,1,0
131,22,21892.15,115045.12,3733.19,46,32.14,1,0,0.24,0,0,0
132,38,5564.05,19523.46,2502.4,165,51.34,1,0,0.72,1,1,1
133,27,7734.21,49044.4,3950.95,101,65.0,0,0,0.09,0,0,0
134,42,14716.47,26646.3,1943.14,90,95.31,1,0,0.55,1,0,0
135,28,5372.05,9660.61,820.29,133,30.7,0,0,0.54,1,0,0
136,53,12293.59,83234.91,1783.64,88,8.53,1,0,0.11,0,0,0
137,30,3679.49,15905.49,454.34,127,45.88,0,0,0.47,0,0,0
138,34,3000.0,11153.01,1289.18,107,34.53,0,0,0.25,0,0,1
139,46,30215.48,164641.9,11909.63,66,60.01,0,0,0.17,1,1,0
140,25,3000.0,18187.04,1294.21,143,92.28,1,0,0.08,0,0,0
141,40,15855.83,44520.14,5594.47,46,64.34,0,0,0.19,1,0,0
142,51,27034.69,73137.04,13754.0,8,57.8,0,0,0.64,1,1,0
143,21,10620.67,82076.33,3965.06,165,24.61,1,0,0.73,0,1,1
144,39,8098.01,43185.21,4529.81,101,26.48,1,0,0.23,0,0,0
145,40,20714.86,83600.13,7101.56,142,43.61,0,0,0.57,1,1,1
146,45,31415.21,210776.27,15560.87,133,89.13,0,0,0.37,0,0,0
147,25,3968.22,19497.97,1205.07,73,57.95,0,0,0.54,0,0,1
148,24,16198.23,49741.65,5144.75,123,49.46,0,0,0.25,1,1,1
149,43,3000.0,8531.34,1573.49,43,54.25,0,0,0.05,1,0,0
150,40,13281.59,54183.37,2043.11,177,83.38,0,0,0.33,1,1,0
151,40,18410.46,130517.67,7041.24,123,67.79,0,0,0.16,1,1,0
152,41,7744.5,14710.0,3587.01,172,92.74,1,0,0.73,1,0,0
153,31,12516.1,36552.25,5947.78,48,58.17,1,0,0.73,0,1,1
154,40,3000.0,21916.46,1187.24,158,19.6,0,0,0.07,0,0,0
155,40,18924.94,43362.24,6132.29,161,1.87,0,0,0.4,0,0,1
156,30,30668.33,171514.7,7065.71,165,31.71,0,0,0.09,0,1,0
157,56,4834.27,13960.53,2681.63,178,6.27,1,0,0.71,0,0,0
158,42,10527.94,57252.35,2999.35,7,40.71,0,0,0.02,1,0,0
159,26,24030.55,95886.17,12003.17,171,18.79,0,0,0.44,0,1,1
160,44,32545.09,70326.68,3769.79,40,40.49,0,0,0.15,1,1,0
161,28,3000.0,15858.26,648.25,32,39.92,0,0,0.66,0,0,1
162,45,15974.58,94885.48,4357.74,105,27.63,0,0,0.21,0,0,0
163,49,21397.57,126711.53,9324.78,94,65.28,0,0,0.41,1,0,1
164,29,16775.32,94624.96,4355.97,111,43.34,0,0,0.01,1,0,1
165,47,3000.0,14254.38,362.05,89,89.35,0,0,0.99,1,0,0
166,42,24013.08,117101.51,4488.86,77,7.61,0,0,0.75,0,1,1
167,46,36232.04,204046.53,8318.25,9,41.06,1,0,0.16,0,0,1
168,56,19399.94,116141.35,3647.65,137,77.59,0,0,0.44,1,1,1
169,35,5626.73,32391.37,1135.82,64,49.45,0,0,0.5,1,0,0
170,30,11842.47,62944.48,5737.42,173,96.61,0,0,0.23,1,1,1
171,29,39238.96,98605.67,12007.78,91,17.48,1,0,0.08,1,0,0
172,29,28919.55,82970.41,8750.76,95,31.6,0,1,0.57,1,1,0
173,37,25680.32,81957.61,14979.41,93,11.62,0,0,0.84,1,0,1
174,41,22276.95,166582.6,7203.27,94,24.67,0,0,0.57,0,0,0
175,40,10066.35,64787.74,5675.7,166,67.25,0,0,0.63,1,1,0
176,46,15593.15,79425.78,3890.98,174,48.69,0,0,0.59,1,0,1
177,38,17064.93,53556.06,5124.82,124,16.21,1,0,0.46,1,0,0
178,52,24594.89,54620.21,7332.76,70,47.47,0,1,0.15,0,0,0
179,35,36107.03,265095.44,13469.34,103,84.74,0,0,0.2,1,0,0
180,65,31420.06,229439.6,12320.55,64,43.98,0,0,0.33,0,0,0
181,44,3000.0,6658.56,672.19,95,1.32,2,0,0.29,0,0,1
182,29,20687.94,138234.92,10277.61,163,5.49,0,0,0.52,0,0,1
183,27,26841.16,118186.81,9347.78,12,43.81,0,0,0.42,1,0,1
184,42,25426.32,91681.86,2632.18,48,59.32,0,0,0.64,1,0,0
185,35,10449.19,65873.6,4134.44,63,88.65,0,0,0.84,1,1,0
186,45,52969.31,290967.95,26433.26,173,98.2,0,0,0.05,1,0,0
187,42,3000.0,19710.59,675.7,6,98.04,2,0,0.46,0,1,1
188,37,5001.74,9919.14,594.88,45,55.79,2,0,0.22,1,0,0
189,29,20803.14,74284.18,10476.24,90,3.57,1,0,0.91,0,1,0
190,22,43401.64,155185.14,25526.17,101,21.35,0,0,0.54,1,0,0
191,33,7965.66,29022.05,1101.51,160,43.43,0,0,0.88,1,1,0
192,46,14810.06,70586.51,8427.2,104,87.97,1,0,0.67,1,0,0
193,40,30927.52,103285.24,8648.49,131,2.16,0,0,0.14,0,0,0
194,25,17785.65,78052.23,10150.63,127,50.93,0,0,0.85,0,0,0
195,39,13984.75,54408.44,5935.4,130,65.35,0,0,0.32,0,0,1
196,41,24787.59,155651.83,13512.27,20,28.82,0,0,0.74,0,1,1
197,29,21270.22,115343.17,10484.44,39,31.57,0,0,0.51,0,0,0
198,39,30365.27,174557.5,3461.61,140,38.84,0,0,0.73,0,1,0
199,38,33497.63,96097.83,4445.85,36,27.46,1,0,0.53,1,1,0
200,26,21684.04,78404.36,7868.54,92,43.72,0,0,0.93,0,1,1
201,41,21500.79,35209.17,3543.54,9,15.81,0,0,0.51,0,0,0
202,43,20569.33,45343.77,6798.52,44,19.93,0,0,0.06,1,0,1
203,48,23869.57,76928.09,13780.26,75,3.71,0,0,0.45,1,0,1
204,48,18662.05,35934.04,4616.59,53,41.13,0,0,0.97,1,1,1
205,24,17992.7,97468.44,6197.7,30,70.73,0,0,0.79,1,1,0
206,28,32359.53,258482.9,9453.18,115,50.62,0,0,0.63,1,1,0
207,43,36193.39,78007.58,15017.13,66,53.07,0,0,0.15,0,0,0
208,43,3000.0,20513.99,590.77,38,44.99,1,0,0.18,1,0,0
209,43,18120.25,41174.75,4167.11,38,58.48,0,0,0.72,0,1,0
210,75,9735.67,56996.89,5153.91,161,22.97,0,0,0.73,0,1,1
211,43,14268.34,81051.67,7215.05,55,20.75,0,1,0.37,0,1,0
212,49,22830.19,168205.11,11291.7,76,94.2,0,0,0.99,1,1,0
213,47,26033.26,58331.33,12638.1,116,45.04,0,0,0.69,0,0,0
214,44,16654.48,59129.89,5491.3,85,82.72,0,0,0.89,1,1,0
215,34,3000.0,6270.21,1393.34,23,91.68,0,0,0.05,1,0,0
216,45,6419.45,26627.84,1884.77,142,61.49,0,0,0.62,1,0,0
217,30,28758.0,213538.35,4323.9,96,29.88,1,0,0.75,1,0,1
218,35,3000.0,19739.7,890.06,49,67.98,0,0,0.8,1,1,0
219,33,32249.13,199907.51,5783.28,113,43.09,0,0,0.67,0,1,0
220,38,24254.76,120417.09,7165.48,114,97.31,0,0,0.61,0,1,0
221,61,33794.11,244759.18,8405.02,45,81.13,0,0,0.75,1,1,0
222,19,15617.17,69049.31,6240.31,155,81.49,0,0,0.04,1,0,0
223,44,3000.0,7418.87,842.31,96,58.87,0,0,0.75,0,0,0
224,21,23164.35,160860.3,10488.7,49,0.84,1,0,0.33,0,0,1
225,33,33295.84,110463.91,11855.76,2,83.18,1,0,0.76,1,1,0
226,48,29096.66,53788.61,16286.74,103,2.54,0,0,0.78,1,0,0
227,38,10047.7,23303.11,1462.07,59,12.24,1,0,0.28,1,1,0
228,27,19041.13,103943.32,8451.49,60,83.87,0,0,0.72,1,1,0
229,30,11605.96,63206.46,5062.5,22,21.88,0,0,0.33,0,1,0
230,44,8168.8,26068.21,4699.62,89,84.11,0,0,0.72,1,0,0
231,30,29464.66,183466.76,8420.29,106,23.64,0,0,0.19,1,0,1
232,40,3629.61,23696.51,917.27,174,77.07,0,0,0.08,0,0,0
233,38,7274.2,54434.8,1354.43,53,54.22,0,0,0.59,1,1,0
234,31,4751.69,25193.92,1105.45,19,67.1,0,0,0.19,0,0,0
235,59,3000.0,19698.76,1052.84,49,83.81,0,0,0.89,0,1,0
236,44,19756.97,126348.76,10251.03,17,98.4,0,0,0.16,1,0,0
237,18,31938.04,101427.5,7733.58,127,8.57,0,0,0.61,0,1,0
238,39,15781.48,55495.07,2822.85,155,68.54,0,0,0.7,0,0,0
239,31,3000.0,13830.41,708.19,19,95.87,0,0,0.0,0,0,0
240,46,28079.33,45593.91,4224.91,30,37.38,2,0,0.87,1,1,1
241,30,38228.42,131241.44,21535.89,78,33.37,0,0,0.73,1,0,0
242,36,10245.09,46924.97,5494.57,174,68.0,0,0,0.77,1,1,0
243,43,12257.35,26996.2,3116.38,106,40.2,0,0,0.06,1,0,0
244,46,24187.93,56135.18,5405.85,64,21.45,0,1,0.35,1,1,1
245,25,37462.48,168994.72,20705.47,32,16.15,0,0,0.64,0,0,0
246,34,11761.99,73527.41,1186.62,151,19.26,0,0,0.23,0,0,1
247,33,3000.0,20758.1,1200.87,36,70.43,1,0,0.83,1,0,0
248,31,25577.02,129190.58,14272.03,10,91.87,0,0,0.41,0,1,0
249,55,27588.82,126518.68,9774.13,59,80.6,0,0,0.8,1,1,0
250,42,18073.58,72254.98,1834.17,102,44.82,0,0,0.88,1,1,0
251,25,11302.4,31128.72,2367.13,118,52.86,0,0,0.48,1,0,1
252,47,29932.54,73414.15,16798.77,157,62.02,0,0,0.23,0,0,0
253,59,24336.43,161772.22,2640.78,11,57.99,0,0,0.38,0,0,0
254,48,8778.77,39702.38,2610.72,166,96.85,0,0,0.5,1,0,0
255,22,18589.14,123377.62,9199.25,79,88.67,0,0,0.46,0,1,0
256,33,3000.0,18229.62,1557.14,160,4.35,0,0,0.0,0,0,0
257,50,26230.69,72405.18,8887.06,91,83.58,0,0,0.08,1,0,0
258,30,14853.2,71547.81,3211.88,102,11.41,0,0,0.46,0,0,0
259,42,12771.47,56017.05,5106.7,129,69.02,0,0,0.44,0,1,1
260,45,17605.51,74914.56,4082.52,14,28.57,0,0,0.89,1,0,0
261,28,18483.69,92912.2,4207.48,131,77.34,0,0,0.28,0,0,0
262,37,28739.16,226566.1,14478.79,30,0.86,0,1,0.98,0,0,0
263,18,25093.09,170227.83,4444.81,159,38.23,1,0,0.97,0,1,0
264,27,16123.09,118893.76,1656.82,129,2.15,0,0,0.19,1,0,1
265,35,27164.02,45979.37,7290.49,174,95.35,1,0,0.02,1,0,0
266,25,22808.85,55019.19,7880.16,142,1.54,0,0,0.2,1,0,0
267,54,12880.8,26418.06,5829.08,164,15.53,0,0,0.42,0,1,0
268,23,16503.38,52992.39,8095.86,174,53.93,0,0,0.37,0,0,0
269,33,16221.33,70924.52,7003.71,164,64.62,0,0,0.47,1,0,0
270,39,24063.14,136518.5,9944.2,171,72.9,0,0,0.69,1,1,0
271,52,13595.73,64653.17,5885.24,105,24.69,1,0,0.52,1,0,1
272,23,13315.09,98141.47,3139.21,43,30.1,0,0,0.34,1,0,1
273,49,41625.09,316727.95,12120.42,143,23.99,0,0,0.68,1,1,0
274,38,29276.83,75033.17,11951.33,38,24.41,0,0,0.33,1,1,0
275,28,8872.79,62499.36,1178.18,89,78.18,0,0,0.35,1,0,0
276,42,24851.29,115091.16,6154.74,44,94.8,1,1,0.34,1,0,0
277,39,19420.2,86354.67,5888.39,109,59.58,0,1,0.3,0,0,0
278,31,22698.61,149858.65,8324.04,55,15.74,1,0,0.7,0,0,1
279,38,19648.1,41367.36,6744.03,55,6.54,0,0,0.17,1,0,0
280,34,32275.71,233553.68,14816.68,78,23.92,0,1,0.77,0,1,0
281,39,22147.44,129797.57,7457.34,107,17.78,0,0,0.92,1,1,0
282,44,17254.94,124049.19,9525.85,57,57.85,1,0,0.28,0,0,0
283,53,30506.29,242955.25,8851.68,130,69.79,1,0,0.7,1,1,0
284,25,20799.42,101231.38,7543.66,124,0.46,0,1,0.6,0,0,1
285,59,19457.74,40981.98,1977.01,162,43.96,0,0,0.3,1,1,0
286,18,21768.27,56214.49,5556.11,49,62.3,0,0,0.24,1,1,0
287,36,16876.69,60815.47,9000.11,64,19.29,0,0,0.94,1,1,0
288,43,18110.72,39356.31,4831.73,87,90.1,1,0,0.7,1,1,0
289,40,10959.66,74522.67,2483.39,136,54.9,0,0,0.64,1,0,0
290,31,8985.99,30818.73,3340.71,69,34.54,1,0,1.0,1,1,0
291,35,6017.16,47194.12,838.58,171,1.87,0,0,0.35,0,1,1
292,33,3000.0,18200.53,1097.41,62,48.43,0,1,0.23,0,0,0
293,32,7443.39,19556.0,1874.49,121,33.59,1,0,0.33,0,1,0
294,46,15908.8,73089.42,4638.23,52,96.95,0,0,0.17,1,0,0
295,41,19237.41,87236.8,9535.65,33,37.88,0,0,0.92,1,1,0
296,31,14744.44,69318.42,6354.59,20,92.1,0,0,0.7,1,0,0
297,46,3000.0,14945.98,969.16,112,68.61,1,0,0.6,1,0,0
298,41,36895.04,62818.41,14343.25,37,7.4,0,0,0.81,0,1,0
299,46,31037.76,185014.77,15004.57,106,93.27,0,0,0.52,0,0,0
300,44,23349.12,108964.42,11041.61,105,16.84,0,0,0.19,0,0,1
301,29,40889.89,271561.0,7877.88,51,44.8,0,1,0.15,1,0,0
302,32,6271.63,42645.66,1570.79,29,92.3,1,0,0.52,1,0,0
303,45,40651.5,121892.64,11143.33,137,82.85,0,0,0.81,1,0,0
304,44,6417.43,11646.03,1243.51,86,48.76,1,0,0.22,0,0,0
305,37,20864.86,126670.95,2213.36,40,20.69,1,0,0.7,1,1,0
306,39,3000.0,23566.37,560.95,171,50.93,0,0,0.25,0,0,0
307,50,18176.33,80035.41,9163.09,100,54.76,0,0,0.43,0,1,0
308,32,22634.0,72145.49,8441.58,23,99.69,0,0,0.06,1,0,0
309,43,16143.72,40655.81,4372.19,103,82.4,0,0,0.5,0,0,0
310,35,26566.53,89486.6,10737.45,8,86.13,0,0,0.17,1,0,0
311,35,19188.17,69681.41,9016.85,74,98.62,0,0,0.84,1,0,0
312,48,11731.02,49917.68,3252.0,64,52.33,0,0,0.96,0,1,0
313,46,11198.24,64503.5,3729.43,151,58.52,0,0,0.08,0,0,0
314,46,27730.97,90834.44,3663.44,93,45.44,0,1,0.53,1,1,0
315,51,10155.1,18597.52,4047.27,120,12.55,0,0,0.7,0,0,1
316,38,28984.84,113803.48,8063.68,109,52.53,1,0,0.07,1,0,0
317,44,32672.54,230720.17,10349.41,96,58.26,0,0,0.55,0,1,0
318,34,3000.0,14217.85,933.9,142,23.73,0,0,0.94,1,1,1
319,41,31595.12,245528.63,13150.03,80,78.28,0,0,0.53,0,1,0
320,36,42725.07,203949.84,16501.82,103,12.45,0,0,0.62,0,0,1
321,38,21024.05,69239.38,6539.59,17,50.2,0,0,0.33,1,0,0
322,43,25189.01,69434.54,2732.44,20,66.27,0,1,0.62,1,0,0
323,29,30444.06,183103.06,12496.72,115,5.49,0,0,0.89,1,1,0
324,58,14694.21,73272.37,7931.77,12,80.41,0,0,0.33,1,0,0
325,27,20187.36,109536.49,9786.34,124,30.42,0,0,0.77,1,1,1
326,25,3000.0,19224.97,1772.42,122,71.77,0,1,0.57,0,1,0
327,49,19663.62,122275.72,3333.72,72,10.82,0,0,0.26,1,1,1
328,45,23977.34,42724.3,5065.45,169,62.03,1,0,0.39,1,1,0
329,44,24193.96,162503.97,8942.9,85,55.72,0,0,0.36,1,1,0
330,44,30785.1,152773.24,6709.33,160,15.0,0,0,0.47,1,1,0
331,37,8702.37,35210.72,1020.57,165,62.47,0,0,0.11,1,0,1
332,29,11608.72,57972.51,3495.9,110,69.13,0,0,0.15,1,1,0
333,38,40746.09,223326.64,9934.81,18,49.85,0,0,0.38,0,0,0
334,31,16196.06,40033.27,3755.55,29,57.86,0,0,0.56,0,1,0
335,47,20400.41,85950.99,11762.6,135,88.74,0,0,0.62,1,0,1
336,36,17195.88,63303.37,3769.8,40,69.77,3,0,0.91,0,1,1
337,29,8139.83,30749.5,1340.76,101,90.6,1,1,0.57,1,0,0
338,34,37482.35,78475.94,6096.87,120,55.23,0,0,0.73,0,1,0
339,42,11667.58,29623.79,5870.68,134,17.49,0,0,0.48,0,0,0
340,32,4472.57,11413.6,2045.86,148,24.63,0,0,0.52,0,1,0
341,29,12591.12,49432.23,2074.3,55,17.64,2,0,0.59,0,0,1
342,40,3000.0,21942.59,629.63,73,33.52,0,0,0.52,0,0,1
343,40,10184.55,28915.75,4824.13,88,47.75,2,0,0.31,0,0,0
344,32,6382.46,26839.83,1514.61,125,25.59,0,1,0.98,0,0,0
345,33,25409.14,89578.95,15010.99,161,47.56,0,0,0.62,1,1,0
346,40,9919.03,65644.05,3672.87,22,36.44,0,0,0.35,0,0,1
347,23,28653.65,52316.45,5616.23,50,55.53,0,0,0.8,1,1,1
348,23,34781.81,96607.59,18413.64,27,42.85,0,1,0.16,1,1,0
349,30,27374.1,78540.96,7110.09,48,43.41,1,0,0.99,0,1,1
350,35,15415.34,122617.6,3767.57,66,49.06,0,0,0.79,0,1,0
351,41,19693.37,102603.22,5193.55,141,98.79,0,0,0.1,1,0,0
352,52,3000.0,7209.69,1452.3,130,55.65,0,0,0.85,0,0,0
353,46,16394.65,53598.93,3059.35,46,72.33,0,0,0.26,1,0,0
354,36,7674.74,19884.05,2232.53,71,41.67,0,1,0.64,0,1,0
355,37,26331.92,60824.88,3039.13,128,32.58,0,0,0.17,0,0,0
